"query","significant","p_value","term_size","query_size","intersection_size","precision","recall","term_id","source","term_name","effective_domain_size","source_order"
"query_1",TRUE,3.54655072854698e-19,194,2407,86,0.0357291233901122,0.443298969072165,"GO:0015979","GO:BP","photosynthesis",15896,4817
"query_1",TRUE,1.09298199263512e-18,1353,2407,333,0.138346489405899,0.246119733924612,"GO:0055085","GO:BP","transmembrane transport",15896,13261
"query_1",TRUE,7.01697063720431e-14,251,2407,91,0.0378063980058164,0.362549800796813,"GO:0009416","GO:BP","response to light stimulus",15896,3324
"query_1",TRUE,3.83993816377146e-13,258,2407,91,0.0378063980058164,0.352713178294574,"GO:0009314","GO:BP","response to radiation",15896,3304
"query_1",TRUE,1.46700208448191e-11,86,2407,43,0.0178645616950561,0.5,"GO:0019684","GO:BP","photosynthesis, light reaction",15896,5600
"query_1",TRUE,1.64752972699659e-11,23,2407,20,0.00830909846281678,0.869565217391304,"GO:0009765","GO:BP","photosynthesis, light harvesting",15896,3502
"query_1",TRUE,2.61298801453446e-11,1669,2407,360,0.149563772330702,0.215698022768125,"GO:0016310","GO:BP","phosphorylation",15896,4946
"query_1",TRUE,5.96375531923224e-11,2294,2407,467,0.194017449106772,0.20357454228422,"GO:0006793","GO:BP","phosphorus metabolic process",15896,2351
"query_1",TRUE,7.05443775645842e-11,2292,2407,466,0.193601994183631,0.203315881326353,"GO:0006796","GO:BP","phosphate-containing compound metabolic process",15896,2354
"query_1",TRUE,8.50417280330531e-10,1376,2407,300,0.124636476942252,0.218023255813953,"GO:0006468","GO:BP","protein phosphorylation",15896,2098
"query_1",TRUE,8.23881790547225e-09,3847,2407,711,0.295388450353137,0.184819339745256,"GO:0050896","GO:BP","response to stimulus",15896,12476
"query_1",TRUE,8.23881790547225e-09,15,2407,14,0.00581636892397175,0.933333333333333,"GO:0009768","GO:BP","photosynthesis, light harvesting in photosystem I",15896,3504
"query_1",TRUE,7.56549437333958e-07,174,2407,57,0.0236809306190278,0.327586206896552,"GO:0006720","GO:BP","isoprenoid metabolic process",15896,2302
"query_1",TRUE,1.24107369839705e-05,147,2407,48,0.0199418363107603,0.326530612244898,"GO:0008299","GO:BP","isoprenoid biosynthetic process",15896,3019
"query_1",TRUE,1.24107369839705e-05,38,2407,20,0.00830909846281678,0.526315789473684,"GO:0071482","GO:BP","cellular response to light stimulus",15896,15577
"query_1",TRUE,1.99378632926819e-05,132,2407,44,0.0182800166181969,0.333333333333333,"GO:0006721","GO:BP","terpenoid metabolic process",15896,2303
"query_1",TRUE,2.48276328759279e-05,27,2407,16,0.00664727877025343,0.592592592592593,"GO:0010109","GO:BP","regulation of photosynthesis",15896,3754
"query_1",TRUE,5.23258745202081e-05,41,2407,20,0.00830909846281678,0.48780487804878,"GO:0071478","GO:BP","cellular response to radiation",15896,15573
"query_1",TRUE,6.28193767959593e-05,56,2407,24,0.00997091815538014,0.428571428571429,"GO:0071214","GO:BP","cellular response to abiotic stimulus",15896,15342
"query_1",TRUE,6.28193767959593e-05,56,2407,24,0.00997091815538014,0.428571428571429,"GO:0104004","GO:BP","cellular response to environmental stimulus",15896,17955
"query_1",TRUE,6.28193767959593e-05,1319,2407,263,0.109264644786041,0.199393479909022,"GO:0044281","GO:BP","small molecule metabolic process",15896,10246
"query_1",TRUE,6.28193767959593e-05,79,2407,30,0.0124636476942252,0.379746835443038,"GO:0015698","GO:BP","inorganic anion transport",15896,4579
"query_1",TRUE,0.00013347141521482,878,2407,184,0.0764437058579144,0.209567198177677,"GO:0009605","GO:BP","response to external stimulus",15896,3376
"query_1",TRUE,0.000137495789647274,217,2407,60,0.0249272953884504,0.276497695852535,"GO:0030001","GO:BP","metal ion transport",15896,6211
"query_1",TRUE,0.000160452708026154,11,2407,9,0.00373909430826755,0.818181818181818,"GO:0071483","GO:BP","cellular response to blue light",15896,15578
"query_1",TRUE,0.000166401682259787,448,2407,105,0.0436227669297881,0.234375,"GO:0006811","GO:BP","monoatomic ion transport",15896,2363
"query_1",TRUE,0.00016799553143603,34,2407,17,0.00706273369339427,0.5,"GO:0006817","GO:BP","phosphate ion transport",15896,2368
"query_1",TRUE,0.000171403505878966,71,2407,27,0.0112172829248027,0.380281690140845,"GO:0046148","GO:BP","pigment biosynthetic process",15896,11133
"query_1",TRUE,0.000239524975230309,110,2407,36,0.0149563772330702,0.327272727272727,"GO:0016114","GO:BP","terpenoid biosynthetic process",15896,4886
"query_1",TRUE,0.000252574413212093,35,2407,17,0.00706273369339427,0.485714285714286,"GO:0015995","GO:BP","chlorophyll biosynthetic process",15896,4825
"query_1",TRUE,0.000278054005233375,111,2407,36,0.0149563772330702,0.324324324324324,"GO:0048580","GO:BP","regulation of post-embryonic development",15896,12002
"query_1",TRUE,0.000278054005233375,402,2407,95,0.0394682176983797,0.236318407960199,"GO:0034220","GO:BP","monoatomic ion transmembrane transport",15896,7944
"query_1",TRUE,0.000278054005233375,46,2407,20,0.00830909846281678,0.434782608695652,"GO:0009070","GO:BP","serine family amino acid biosynthetic process",15896,3101
"query_1",TRUE,0.000295612667076347,837,2407,174,0.072289156626506,0.207885304659498,"GO:0009607","GO:BP","response to biotic stimulus",15896,3378
"query_1",TRUE,0.000344638698120006,270,2407,69,0.0286663896967179,0.255555555555556,"GO:0006790","GO:BP","sulfur compound metabolic process",15896,2348
"query_1",TRUE,0.000374927768469971,12,2407,9,0.00373909430826755,0.75,"GO:0042548","GO:BP","regulation of photosynthesis, light reaction",15896,9585
"query_1",TRUE,0.000374927768469971,12,2407,9,0.00373909430826755,0.75,"GO:0043467","GO:BP","regulation of generation of precursor metabolites and energy",15896,10038
"query_1",TRUE,0.000419908579349313,439,2407,101,0.0419609472372248,0.230068337129841,"GO:0006091","GO:BP","generation of precursor metabolites and energy",15896,1853
"query_1",TRUE,0.000532170260905132,10,2407,8,0.00332363938512671,0.8,"GO:0030522","GO:BP","intracellular receptor signaling pathway",15896,6392
"query_1",TRUE,0.000532170260905132,115,2407,36,0.0149563772330702,0.31304347826087,"GO:2000026","GO:BP","regulation of multicellular organismal development",15896,23538
