"query","significant","p_value","term_size","query_size","intersection_size","precision","recall","term_id","source","term_name","effective_domain_size","source_order"
"query_1",TRUE,3.63663884606458e-12,194,4306,105,0.0243845796562935,0.541237113402062,"GO:0015979","GO:BP","photosynthesis",15896,4817
"query_1",TRUE,3.62553722359455e-10,1353,4306,483,0.11216906641895,0.356984478935698,"GO:0055085","GO:BP","transmembrane transport",15896,13261
"query_1",TRUE,8.43900152504038e-10,398,4306,173,0.0401764979098932,0.434673366834171,"GO:0009451","GO:BP","RNA modification",15896,3341
"query_1",TRUE,9.24799471188907e-08,251,4306,115,0.0267069205759405,0.458167330677291,"GO:0009416","GO:BP","response to light stimulus",15896,3324
"query_1",TRUE,2.03900863834442e-07,86,4306,51,0.0118439386901997,0.593023255813954,"GO:0019684","GO:BP","photosynthesis, light reaction",15896,5600
"query_1",TRUE,2.14159302490317e-07,258,4306,116,0.0269391546679052,0.449612403100775,"GO:0009314","GO:BP","response to radiation",15896,3304
"query_1",TRUE,7.83143338876982e-07,1319,4306,451,0.10473757547608,0.341925701288855,"GO:0044281","GO:BP","small molecule metabolic process",15896,10246
"query_1",TRUE,1.22683935419605e-06,23,4306,20,0.00464468183929401,0.869565217391304,"GO:0009765","GO:BP","photosynthesis, light harvesting",15896,3502
"query_1",TRUE,2.76142579200419e-05,963,4306,333,0.0773339526242452,0.345794392523364,"GO:0005975","GO:BP","carbohydrate metabolic process",15896,1760
"query_1",TRUE,3.89941445306793e-05,15,4306,14,0.00325127728750581,0.933333333333333,"GO:0009768","GO:BP","photosynthesis, light harvesting in photosystem I",15896,3504
"query_1",TRUE,6.14778014396227e-05,535,4306,198,0.0459823502090107,0.370093457943925,"GO:1901700","GO:BP","response to oxygen-containing compound",15896,20237
"query_1",TRUE,0.000341182741887822,794,4306,274,0.0636321411983279,0.345088161209068,"GO:0006082","GO:BP","organic acid metabolic process",15896,1846
"query_1",TRUE,0.000341182741887822,794,4306,274,0.0636321411983279,0.345088161209068,"GO:0043436","GO:BP","oxoacid metabolic process",15896,10020
"query_1",TRUE,0.000393415928769061,675,4306,237,0.055039479795634,0.351111111111111,"GO:0009628","GO:BP","response to abiotic stimulus",15896,3392
"query_1",TRUE,0.000957288169136579,778,4306,266,0.0617742684626103,0.341902313624679,"GO:0019752","GO:BP","carboxylic acid metabolic process",15896,5632
"query_1",TRUE,0.0011865470970489,100,4306,48,0.0111472364143056,0.48,"GO:0009415","GO:BP","response to water",15896,3323
"query_1",TRUE,0.00271998460590269,38,4306,23,0.00534138411518811,0.605263157894737,"GO:0071482","GO:BP","cellular response to light stimulus",15896,15577
"query_1",TRUE,0.00271998460590269,1312,4306,421,0.0977705527171389,0.320884146341463,"GO:0042221","GO:BP","response to chemical",15896,9400
"query_1",TRUE,0.00271998460590269,103,4306,48,0.0111472364143056,0.466019417475728,"GO:0001101","GO:BP","response to acid chemical",15896,275
"query_1",TRUE,0.00272161707182106,43,4306,25,0.00580585229911751,0.581395348837209,"GO:0048511","GO:BP","rhythmic process",15896,11947
"query_1",TRUE,0.00290817504590126,217,4306,87,0.0202043660009289,0.400921658986175,"GO:0030001","GO:BP","metal ion transport",15896,6211
