"ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0009535","chloroplast thylakoid membrane","88/3888","133/11568",1.31301584132413e-14,1.91700312833323e-12,1.75529486155962e-12,"Os01g0102900/Os01g0151200/Os01g0227100/Os01g0279100/Os01g0501800/Os01g0589800/Os01g0600900/Os01g0720500/Os01g0761000/Os01g0773700/Os01g0805300/Os01g0869800/Os01g0934400/Os01g0938100/Os01g0970700/Os02g0125700/Os02g0197600/Os02g0257300/Os02g0553200/Os02g0556800/Os02g0578400/Os02g0728100/Os02g0731600/Os02g0759900/Os02g0764500/Os03g0169100/Os03g0178100/Os03g0213100/Os03g0592500/Os03g0654600/Os03g0765200/Os03g0769600/Os03g0857400/Os04g0448900/Os04g0457000/Os04g0539000/Os04g0690800/Os05g0110800/Os05g0291700/Os05g0292800/Os05g0401100/Os05g0443800/Os05g0560000/Os06g0101600/Os06g0217700/Os06g0229066/Os06g0264800/Os06g0320500/Os06g0574000/Os07g0105600/Os07g0141400/Os07g0147500/Os07g0147550/Os07g0148900/Os07g0275100/Os07g0435300/Os07g0469100/Os07g0489800/Os07g0513000/Os07g0544800/Os07g0556200/Os07g0558400/Os07g0562700/Os07g0576000/Os07g0577600/Os08g0200300/Os08g0430600/Os08g0435900/Os08g0504500/Os08g0512500/Os08g0526300/Os08g0560900/Os09g0250300/Os09g0296800/Os09g0306650/Os09g0346500/Os09g0465800/Os09g0481200/Os10g0100300/Os10g0460900/Os10g0461100/Os10g0536500/Os10g0567400/Os11g0242800/Os11g0621400/Os12g0189400/Os12g0190200/Os12g0498500",88
"GO:0009523","photosystem II","40/3888","52/11568",1.8407861213695e-10,1.34377386859973e-08,1.2304201969154e-08,"Os01g0501800/Os01g0600900/Os01g0720500/Os01g0773700/Os01g0805300/Os01g0869800/Os01g0934400/Os01g0938100/Os02g0197600/Os02g0578400/Os02g0764500/Os03g0333400/Os03g0343900/Os03g0592500/Os04g0457000/Os04g0690800/Os06g0320500/Os06g0729650/Os07g0105600/Os07g0141400/Os07g0147500/Os07g0147550/Os07g0275100/Os07g0544800/Os07g0558400/Os07g0562700/Os07g0577600/Os07g0673550/Os08g0119800/Os08g0200300/Os08g0435900/Os08g0504500/Os08g0512500/Os08g0553800/Os09g0296800/Os09g0346500/Os10g0461100/Os10g0461400/Os11g0242800/Os12g0190200",40
"GO:0005576","extracellular region","139/3888","268/11568",3.75077992816725e-10,1.8253795650414e-08,1.67140017851663e-08,"Os01g0124100/Os01g0124650/Os01g0263300/Os01g0270100/Os01g0294700/Os01g0303100/Os01g0327100/Os01g0327400/Os01g0382000/Os01g0543100/Os01g0660200/Os01g0696800/Os01g0746700/Os01g0775400/Os01g0800500/Os01g0823100/Os01g0860400/Os01g0915200/Os01g0916600/Os01g0940000/Os02g0103300/Os02g0151300/Os02g0198700/Os02g0236600/Os02g0236800/Os02g0240300/Os02g0271000/Os02g0472566/Os02g0527500/Os02g0637000/Os02g0689000/Os02g0779000/Os02g0786900/Os02g0802200/Os03g0119300/Os03g0121200/Os03g0132200/Os03g0192100/Os03g0211700/Os03g0232400/Os03g0238600/Os03g0261100/Os03g0317300/Os03g0318400/Os03g0336400/Os03g0434800/Os03g0605300/Os03g0669300/Os03g0708000/Os03g0761500/Os04g0106000/Os04g0121100/Os04g0127200/Os04g0228400/Os04g0317500/Os04g0350100/Os04g0364800/Os04g0418100/Os04g0443300/Os04g0448300/Os04g0448500/Os04g0474800/Os04g0558900/Os04g0583500/Os04g0688100/Os04g0688300/Os04g0688600/Os05g0112800/Os05g0135500/Os05g0247100/Os05g0247800/Os05g0319100/Os05g0361500/Os05g0374200/Os05g0435800/Os05g0458600/Os05g0477600/Os06g0179000/Os06g0306300/Os06g0356800/Os06g0472900/Os06g0567900/Os06g0663300/Os06g0688200/Os06g0695500/Os06g0700000/Os06g0725300/Os07g0124100/Os07g0129200/Os07g0129300/Os07g0132300/Os07g0213800/Os07g0216600/Os07g0533800/Os07g0676900/Os07g0677200/Os07g0694300/Os08g0113000/Os08g0136800/Os08g0158200/Os08g0158400/Os08g0207800/Os08g0218700/Os08g0434100/Os08g0485800/Os08g0518800/Os08g0518900/Os08g0561900/Os09g0255200/Os09g0441000/Os09g0452800/Os09g0472700/Os09g0533900/Os10g0109300/Os10g0490400/Os10g0490666/Os10g0524600/Os10g0535900/Os10g0536700/Os10g0542400/Os10g0548600/Os10g0555600/Os10g0555700/Os10g0555900/Os10g0556100/Os11g0108700/Os11g0112400/Os11g0149400/Os11g0168000/Os11g0213600/Os11g0297800/Os11g0557000/Os11g0700900/Os12g0112000/Os12g0123500/Os12g0427600/Os12g0583300/Os12g0628600/Os12g0633400",139
"GO:0009522","photosystem I","22/3888","24/11568",4.68664540543089e-09,1.71062557298227e-07,1.56632622760453e-07,"Os01g0600900/Os01g0720500/Os02g0197600/Os02g0764500/Os03g0592500/Os03g0778100/Os04g0457000/Os05g0560000/Os06g0320500/Os07g0148900/Os07g0435300/Os07g0558400/Os07g0562700/Os07g0577600/Os08g0435900/Os08g0560900/Os09g0296800/Os09g0346500/Os09g0481200/Os11g0242800/Os12g0189400/Os12g0420400",22
"GO:0009505","plant-type cell wall","55/3888","93/11568",3.69197681509532e-07,1.07805723000783e-05,9.87118011614958e-06,"Os01g0172600/Os01g0263300/Os01g0294700/Os01g0311700/Os01g0319000/Os01g0327100/Os01g0327400/Os01g0543100/Os02g0208500/Os02g0236600/Os02g0236800/Os02g0240300/Os02g0689000/Os03g0121200/Os03g0152300/Os03g0165400/Os03g0434800/Os03g0830600/Os03g0830800/Os04g0106000/Os04g0604200/Os04g0604300/Os04g0688100/Os04g0688300/Os04g0688600/Os05g0135500/Os05g0178300/Os05g0360900/Os05g0543000/Os06g0143100/Os06g0306300/Os06g0472900/Os06g0696400/Os06g0696600/Os07g0247000/Os07g0676900/Os07g0677200/Os07g0694300/Os08g0108100/Os08g0113000/Os08g0218700/Os08g0237000/Os08g0549200/Os10g0109300/Os10g0186200/Os10g0493600/Os10g0508700/Os10g0536700/Os11g0112400/Os11g0539200/Os11g0677400/Os12g0112000/Os12g0561500/Os12g0637100/Os12g0637200",55
"GO:0009579","thylakoid","14/3888","18/11568",0.000158447063194799,0.00385554520440678,0.00353031175890166,"Os01g0501800/Os01g0552300/Os01g0761000/Os02g0731600/Os02g0759900/Os03g0333400/Os05g0549100/Os06g0217700/Os06g0264800/Os07g0469100/Os07g0575800/Os08g0430600/Os09g0465800/Os10g0536500",14
"GO:0009536","plastid","45/3888","89/11568",0.000680683542611349,0.014197113888751,0.0129995202874649,"Os01g0227100/Os01g0681900/Os01g0852200/Os02g0190600/Os02g0581400/Os02g0595700/Os02g0698000/Os02g0749300/Os03g0100200/Os03g0107800/Os03g0308100/Os03g0314700/Os03g0439700/Os03g0684400/Os03g0704100/Os03g0810100/Os04g0607000/Os04g0650800/Os04g0665800/Os05g0186000/Os05g0451100/Os05g0452600/Os05g0496200/Os05g0565400/Os05g0582300/Os05g0586600/Os06g0136800/Os06g0225800/Os06g0655100/Os06g0694500/Os07g0470700/Os07g0575800/Os08g0114100/Os08g0242800/Os08g0447000/Os08g0517900/Os08g0553800/Os10g0407100/Os10g0509200/Os10g0580800/Os11g0181500/Os11g0595200/Os12g0176200/Os12g0271700/Os12g0563200",45
"GO:0009654","photosystem II oxygen evolving complex","17/3888","26/11568",0.000908163882884444,0.0159877095468977,0.0146390707458977,"Os01g0501800/Os01g0805300/Os01g0934400/Os01g0938100/Os02g0578400/Os07g0105600/Os07g0141400/Os07g0147500/Os07g0147550/Os07g0275100/Os07g0544800/Os08g0200300/Os08g0504500/Os08g0512500/Os10g0461100/Os10g0461400/Os12g0190200",17
"GO:0098552","side of membrane","34/3888","64/11568",0.000985543739192323,0.0159877095468977,0.0146390707458977,"Os01g0159200/Os01g0668100/Os01g0748150/Os01g0763900/Os01g0841100/Os02g0139300/Os02g0461500/Os02g0771700/Os03g0128000/Os03g0192600/Os03g0374600/Os03g0385400/Os03g0397600/Os03g0635100/Os03g0792800/Os04g0574200/Os05g0163300/Os05g0512600/Os06g0104300/Os06g0590600/Os06g0681200/Os07g0168600/Os07g0510200/Os07g0573900/Os07g0600700/Os07g0604400/Os07g0633100/Os08g0224500/Os08g0482300/Os08g0490600/Os08g0502400/Os09g0248100/Os09g0272300/Os09g0452200",34
"GO:0009570","chloroplast stroma","52/3888","108/11568",0.00117950178763547,0.0172207260994779,0.0157680765294426,"Os01g0102900/Os01g0106900/Os01g0132800/Os01g0552300/Os01g0555800/Os01g0660300/Os01g0829000/Os02g0192700/Os02g0291500/Os02g0603800/Os02g0704000/Os02g0774100/Os02g0831800/Os03g0133300/Os03g0267300/Os03g0308800/Os03g0314700/Os03g0323200/Os03g0563300/Os03g0586500/Os03g0645900/Os03g0731900/Os03g0856100/Os04g0643200/Os04g0650800/Os05g0408900/Os05g0417200/Os05g0443800/Os05g0503300/Os06g0136800/Os06g0498900/Os06g0625500/Os06g0694500/Os07g0154100/Os07g0181000/Os07g0197100/Os07g0476900/Os07g0529600/Os07g0558500/Os07g0571600/Os08g0104600/Os08g0447000/Os09g0532000/Os09g0566050/Os10g0100300/Os11g0181500/Os11g0707000/Os11g0707100/Os12g0176200/Os12g0292900/Os12g0617400/Os12g0640600",52
