"ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0035251","UDP-glucosyltransferase activity","67/5181","100/14573",1.41215643674914e-10,4.80133188494708e-08,4.07295645967647e-08,"Os01g0176000/Os01g0176200/Os01g0597800/Os01g0620800/Os01g0638000/Os01g0638600/Os01g0697100/Os01g0734600/Os01g0734800/Os01g0735300/Os01g0735900/Os01g0736100/Os01g0805500/Os01g0865400/Os02g0206700/Os02g0207400/Os02g0243300/Os02g0490500/Os02g0589400/Os03g0757000/Os03g0757100/Os03g0757200/Os03g0808200/Os03g0841600/Os04g0272200/Os04g0272700/Os04g0506000/Os04g0525100/Os04g0556400/Os04g0556500/Os04g0556600/Os04g0565200/Os04g0565400/Os05g0177500/Os05g0215300/Os05g0499600/Os05g0526800/Os05g0526900/Os05g0527000/Os05g0527600/Os05g0527700/Os05g0527900/Os06g0137650/Os06g0192100/Os06g0282400/Os06g0289200/Os06g0289900/Os07g0148200/Os07g0201300/Os07g0202000/Os07g0240600/Os07g0241800/Os07g0489200/Os07g0489300/Os07g0503500/Os07g0503900/Os07g0510500/Os07g0672700/Os08g0404000/Os08g0489100/Os09g0482860/Os09g0482900/Os10g0442400/Os11g0145200/Os11g0457000/Os11g0461200/Os11g0599200",67
"GO:0008194","UDP-glycosyltransferase activity","77/5181","123/14573",8.27128043848907e-10,1.40611767454314e-07,1.19280570534e-07,"Os01g0176000/Os01g0176200/Os01g0179600/Os01g0597800/Os01g0598000/Os01g0620800/Os01g0638000/Os01g0638600/Os01g0686200/Os01g0697100/Os01g0734600/Os01g0734800/Os01g0735300/Os01g0735900/Os01g0736100/Os01g0805500/Os01g0865400/Os01g0867600/Os02g0203300/Os02g0206700/Os02g0207400/Os02g0243300/Os02g0490500/Os02g0589400/Os02g0755500/Os02g0755600/Os02g0755900/Os03g0757100/Os03g0757200/Os03g0808200/Os03g0841600/Os04g0272200/Os04g0272700/Os04g0314100/Os04g0321100/Os04g0506000/Os04g0525100/Os04g0556400/Os04g0556500/Os04g0556600/Os04g0565200/Os04g0565400/Os05g0177500/Os05g0215300/Os05g0499600/Os05g0526800/Os05g0526900/Os05g0527000/Os05g0527600/Os05g0527900/Os06g0187500/Os06g0192100/Os06g0282400/Os06g0289200/Os06g0289900/Os06g0593800/Os07g0148200/Os07g0202000/Os07g0240600/Os07g0241800/Os07g0489200/Os07g0489300/Os07g0503500/Os07g0503900/Os07g0510500/Os07g0672700/Os08g0404000/Os08g0489100/Os09g0482900/Os09g0517900/Os09g0518000/Os09g0518200/Os10g0442400/Os11g0145200/Os11g0444000/Os11g0461200/Os11g0599200",77
"GO:0022857","transmembrane transporter activity","182/5181","361/14573",3.40394519613407e-09,3.85780455561861e-07,3.27256485523065e-07,"Os01g0133400/Os01g0172100/Os01g0175600/Os01g0175700/Os01g0207900/Os01g0209800/Os01g0225000/Os01g0239200/Os01g0279400/Os01g0279700/Os01g0303300/Os01g0546400/Os01g0547600/Os01g0556700/Os01g0607200/Os01g0684900/Os01g0704100/Os01g0719300/Os01g0803300/Os01g0852200/Os01g0871500/Os01g0871600/Os01g0871900/Os01g0872000/Os01g0872100/Os01g0872500/Os01g0872600/Os01g0902700/Os01g0945300/Os01g0955700/Os01g0974100/Os02g0122200/Os02g0229400/Os02g0558100/Os02g0573500/Os02g0574100/Os02g0652800/Os02g0667500/Os02g0678200/Os02g0689900/Os02g0699000/Os02g0716800/Os02g0741800/Os02g0768300/Os02g0821600/Os02g0832100/Os03g0125800/Os03g0149300/Os03g0150600/Os03g0197100/Os03g0197200/Os03g0216700/Os03g0218400/Os03g0305600/Os03g0363500/Os03g0363600/Os03g0375300/Os03g0406900/Os03g0570800/Os03g0572900/Os03g0626700/Os03g0638200/Os03g0823100/Os03g0823200/Os03g0823500/Os03g0839200/Os03g0858800/Os03g0859500/Os04g0186400/Os04g0422600/Os04g0435100/Os04g0452700/Os04g0453200/Os04g0491500/Os04g0491700/Os04g0529800/Os04g0555300/Os04g0587300/Os04g0587400/Os04g0631100/Os04g0652400/Os04g0687800/Os04g0691400/Os05g0106200/Os05g0208000/Os05g0222200/Os05g0395300/Os05g0409500/Os05g0410500/Os05g0410900/Os05g0411100/Os05g0430900/Os05g0444300/Os05g0451100/Os05g0493800/Os05g0516900/Os05g0554000/Os05g0556800/Os06g0109200/Os06g0109300/Os06g0143700/Os06g0179900/Os06g0210000/Os06g0264500/Os06g0494400/Os06g0705600/Os06g0706400/Os07g0106200/Os07g0108200/Os07g0131250/Os07g0180700/Os07g0208900/Os07g0485500/Os07g0502200/Os07g0516600/Os07g0524900/Os07g0559700/Os07g0561800/Os07g0562400/Os07g0582400/Os07g0603800/Os08g0178200/Os08g0300300/Os08g0344600/Os08g0480000/Os08g0503700/Os08g0540000/Os08g0562800/Os09g0125900/Os09g0240500/Os09g0322000/Os09g0371000/Os09g0371400/Os09g0381100/Os09g0416200/Os09g0426000/Os09g0426500/Os09g0467400/Os09g0469950/Os09g0470000/Os09g0484900/Os09g0491740/Os09g0513200/Os09g0556400/Os10g0109900/Os10g0112500/Os10g0163130/Os10g0190900/Os10g0206800/Os10g0344500/Os10g0370700/Os10g0437100/Os10g0444700/Os10g0469900/Os10g0470700/Os10g0561300/Os10g0579800/Os11g0135000/Os11g0136400/Os11g0235200/Os11g0283500/Os11g0284032/Os11g0284300/Os11g0427700/Os11g0432400/Os11g0475600/Os11g0637100/Os11g0643800/Os11g0660000/Os12g0106600/Os12g0132800/Os12g0133000/Os12g0133300/Os12g0156866/Os12g0231000/Os12g0502800/Os12g0503000/Os12g0512100/Os12g0514000/Os12g0515400/Os12g0583900/Os12g0638200",182
"GO:0004497","monooxygenase activity","122/5181","228/14573",1.81574202738335e-08,1.54338072327584e-06,1.30924556711326e-06,"Os01g0197100/Os01g0211600/Os01g0227400/Os01g0227500/Os01g0227700/Os01g0273800/Os01g0274100/Os01g0368000/Os01g0544200/Os01g0627400/Os01g0627800/Os01g0628900/Os01g0803800/Os01g0804200/Os01g0804400/Os02g0173100/Os02g0185200/Os02g0186200/Os02g0186800/Os02g0218700/Os02g0221900/Os02g0323600/Os02g0467600/Os02g0471300/Os02g0503700/Os02g0503900/Os02g0504000/Os02g0569000/Os02g0569900/Os02g0570500/Os02g0666500/Os02g0734500/Os02g0734600/Os02g0817900/Os03g0153900/Os03g0162000/Os03g0222600/Os03g0223100/Os03g0227700/Os03g0248300/Os03g0332100/Os03g0367101/Os03g0417700/Os03g0594100/Os03g0594900/Os03g0650200/Os03g0760000/Os03g0760200/Os04g0101400/Os04g0128900/Os04g0171600/Os04g0171800/Os04g0174100/Os04g0178400/Os04g0223500/Os04g0469800/Os04g0480650/Os04g0480700/Os04g0510900/Os04g0511200/Os05g0320700/Os05g0361000/Os05g0405500/Os05g0424300/Os05g0482400/Os05g0515200/Os06g0110000/Os06g0191800/Os06g0254300/Os06g0254700/Os06g0328900/Os06g0349700/Os06g0500700/Os06g0528700/Os06g0565100/Os06g0569500/Os06g0569900/Os06g0570100/Os06g0597600/Os06g0600400/Os07g0111700/Os07g0111900/Os07g0112000/Os07g0217600/Os07g0293000/Os07g0437000/Os07g0491800/Os07g0491900/Os07g0635300/Os07g0635500/Os08g0106000/Os08g0131100/Os08g0152400/Os08g0465700/Os08g0472800/Os08g0507000/Os08g0507100/Os08g0547300/Os08g0547900/Os09g0275400/Os09g0403300/Os09g0447300/Os09g0457100/Os09g0530275/Os09g0548400/Os09g0549300/Os10g0139700/Os10g0144700/Os10g0167250/Os10g0171500/Os10g0196000/Os10g0378100/Os10g0486100/Os10g0513400/Os10g0524700/Os10g0525000/Os10g0553800/Os11g0289700/Os11g0489250/Os11g0635500/Os12g0443000/Os12g0512000",122
"GO:0004857","enzyme inhibitor activity","36/5181","49/14573",6.90732433226454e-08,4.69698054593989e-06,3.98443550955891e-06,"Os01g0234300/Os01g0311700/Os01g0704000/Os02g0103300/Os02g0537000/Os02g0689000/Os03g0100100/Os03g0300500/Os03g0399000/Os03g0830600/Os03g0830800/Os04g0106000/Os04g0458900/Os04g0641200/Os05g0247100/Os05g0247800/Os05g0283200/Os05g0360900/Os05g0361500/Os05g0543000/Os06g0356800/Os07g0247000/Os07g0675100/Os07g0691100/Os08g0108100/Os08g0218700/Os08g0450100/Os08g0450200/Os08g0518800/Os08g0518900/Os09g0433700/Os10g0186200/Os10g0508700/Os11g0677400/Os11g0700900/Os12g0561500",36
"GO:0020037","heme binding","144/5181","285/14573",1.22510126872266e-07,6.94224052276171e-06,5.88908329175452e-06,"Os01g0172600/Os01g0197100/Os01g0211600/Os01g0227400/Os01g0227500/Os01g0227700/Os01g0263300/Os01g0294700/Os01g0327100/Os01g0327400/Os01g0543100/Os01g0544200/Os01g0627400/Os01g0627800/Os01g0628900/Os01g0803800/Os01g0804200/Os01g0804400/Os01g0855600/Os02g0173100/Os02g0185200/Os02g0186200/Os02g0186800/Os02g0218700/Os02g0221900/Os02g0236600/Os02g0236800/Os02g0240300/Os02g0323600/Os02g0467600/Os02g0503700/Os02g0503900/Os02g0504000/Os02g0553200/Os02g0569000/Os02g0569900/Os02g0570500/Os02g0649800/Os02g0666500/Os02g0741200/Os02g0817900/Os03g0121200/Os03g0131200/Os03g0152300/Os03g0223100/Os03g0227700/Os03g0235000/Os03g0248300/Os03g0270600/Os03g0332100/Os03g0367101/Os03g0417700/Os03g0434800/Os03g0594100/Os03g0594900/Os03g0650200/Os03g0760000/Os03g0760200/Os04g0101400/Os04g0171600/Os04g0171800/Os04g0174100/Os04g0178400/Os04g0223300/Os04g0469800/Os04g0473900/Os04g0480650/Os04g0480700/Os04g0602100/Os04g0688100/Os04g0688300/Os04g0688600/Os04g0693050/Os05g0135500/Os05g0320700/Os05g0361000/Os05g0405500/Os05g0424300/Os05g0482400/Os05g0503300/Os05g0515200/Os06g0110000/Os06g0191800/Os06g0306300/Os06g0328900/Os06g0349700/Os06g0472900/Os06g0500700/Os06g0565100/Os06g0569500/Os06g0569900/Os06g0570100/Os06g0591600/Os06g0600400/Os06g0695500/Os06g0727200/Os07g0217600/Os07g0293000/Os07g0491800/Os07g0635300/Os07g0635500/Os07g0676900/Os07g0677200/Os07g0694300/Os08g0106000/Os08g0113000/Os08g0131100/Os08g0152400/Os08g0465700/Os08g0468100/Os08g0468700/Os08g0472800/Os08g0507000/Os08g0507100/Os08g0522400/Os08g0530400/Os08g0547300/Os08g0547900/Os08g0549100/Os09g0275400/Os09g0403300/Os09g0447300/Os09g0457100/Os09g0530275/Os09g0538600/Os10g0109300/Os10g0139700/Os10g0144700/Os10g0167250/Os10g0171500/Os10g0196000/Os10g0378100/Os10g0486100/Os10g0513400/Os10g0524700/Os10g0525000/Os10g0536700/Os11g0112400/Os11g0289700/Os11g0489250/Os11g0635500/Os12g0112000/Os12g0442800/Os12g0443000",144
"GO:0004675","transmembrane receptor protein serine/threonine kinase activity","26/5181","33/14573",4.67568034642704e-07,2.27104473969313e-05,1.92652092469325e-05,"Os01g0171000/Os02g0299000/Os02g0728500/Os03g0717000/Os03g0823000/Os04g0227000/Os04g0685900/Os06g0210400/Os06g0225300/Os06g0274300/Os06g0274500/Os07g0130100/Os07g0130200/Os07g0130400/Os07g0131375/Os07g0133100/Os07g0283050/Os07g0283125/Os07g0575600/Os07g0575700/Os08g0174700/Os09g0268000/Os10g0442000/Os10g0533800/Os11g0607200/Os12g0574700",26
"GO:0005506","iron ion binding","127/5181","254/14573",1.36469000009472e-06,5.79993250040255e-05,4.92006657928885e-05,"Os01g0197100/Os01g0211600/Os01g0227400/Os01g0227500/Os01g0227700/Os01g0279100/Os01g0544200/Os01g0627400/Os01g0627800/Os01g0628900/Os01g0662600/Os01g0681900/Os01g0730500/Os01g0803800/Os01g0804200/Os01g0804400/Os02g0173100/Os02g0178800/Os02g0185200/Os02g0186200/Os02g0186800/Os02g0218700/Os02g0221900/Os02g0323600/Os02g0467600/Os02g0503700/Os02g0503900/Os02g0504000/Os02g0569000/Os02g0569900/Os02g0570500/Os02g0603800/Os02g0666500/Os02g0817900/Os03g0125100/Os03g0223100/Os03g0227700/Os03g0248300/Os03g0314700/Os03g0332100/Os03g0367101/Os03g0417700/Os03g0594100/Os03g0594900/Os03g0650200/Os03g0760000/Os03g0760200/Os03g0761900/Os04g0101400/Os04g0171600/Os04g0171800/Os04g0174100/Os04g0178400/Os04g0469800/Os04g0480650/Os04g0480700/Os05g0131401/Os05g0157300/Os05g0320700/Os05g0361000/Os05g0405500/Os05g0424300/Os05g0482400/Os05g0515200/Os05g0529700/Os05g0555600/Os06g0110000/Os06g0191800/Os06g0328900/Os06g0349700/Os06g0500700/Os06g0561000/Os06g0565100/Os06g0569500/Os06g0569900/Os06g0570100/Os06g0600400/Os06g0653000/Os06g0694500/Os07g0101500/Os07g0194500/Os07g0217600/Os07g0293000/Os07g0491800/Os07g0529600/Os07g0635300/Os07g0635500/Os08g0106000/Os08g0114100/Os08g0131100/Os08g0152400/Os08g0162600/Os08g0465700/Os08g0472800/Os08g0507000/Os08g0507100/Os08g0547300/Os08g0547900/Os09g0275400/Os09g0403300/Os09g0426800/Os09g0447300/Os09g0457100/Os09g0530275/Os10g0138100/Os10g0139700/Os10g0144700/Os10g0167250/Os10g0171500/Os10g0196000/Os10g0378100/Os10g0419500/Os10g0471100/Os10g0486100/Os10g0497800/Os10g0513400/Os10g0524700/Os10g0525000/Os10g0533500/Os10g0567400/Os11g0181500/Os11g0289700/Os11g0489250/Os11g0528500/Os11g0635500/Os12g0176200/Os12g0443000",127
"GO:0016798","hydrolase activity, acting on glycosyl bonds","124/5181","249/14573",2.35441571223066e-06,8.30120146760924e-05,7.04188607469019e-05,"Os01g0134900/Os01g0236800/Os01g0287600/Os01g0303100/Os01g0508000/Os01g0517500/Os01g0518500/Os01g0660200/Os01g0713200/Os01g0715400/Os01g0746700/Os01g0860400/Os01g0860800/Os01g0875500/Os01g0937200/Os01g0937500/Os01g0940700/Os01g0941200/Os01g0944700/Os02g0127800/Os02g0139300/Os02g0151300/Os02g0200300/Os02g0532900/Os02g0534400/Os02g0605900/Os02g0771700/Os02g0802200/Os03g0132900/Os03g0165400/Os03g0201901/Os03g0211700/Os03g0219400/Os03g0314800/Os03g0329500/Os03g0351300/Os03g0374600/Os03g0397600/Os03g0669300/Os03g0722500/Os03g0749500/Os03g0792800/Os03g0808000/Os03g0828300/Os03g0845600/Os03g0854600/Os04g0409900/Os04g0412300/Os04g0443300/Os04g0474500/Os04g0474700/Os04g0474800/Os04g0480900/Os04g0481000/Os04g0497200/Os04g0513700/Os04g0535600/Os04g0604200/Os04g0604300/Os05g0319100/Os05g0365600/Os05g0366600/Os05g0375400/Os05g0391500/Os05g0393700/Os05g0495900/Os05g0542900/Os05g0578600/Os06g0131500/Os06g0179000/Os06g0320200/Os06g0590600/Os06g0696400/Os06g0696600/Os06g0713800/Os06g0715300/Os06g0726200/Os07g0168600/Os07g0240200/Os07g0480800/Os07g0510200/Os07g0529700/Os07g0539900/Os07g0543100/Os07g0543300/Os07g0575500/Os07g0577300/Os07g0667100/Os07g0679300/Os08g0111200/Os08g0224500/Os08g0237000/Os08g0473900/Os08g0509200/Os08g0518900/Os08g0520900/Os08g0522500/Os08g0525800/Os08g0549200/Os09g0255000/Os09g0272300/Os09g0379900/Os09g0487600/Os09g0494200/Os09g0533200/Os09g0533900/Os10g0117000/Os10g0323500/Os10g0416100/Os10g0416500/Os10g0416800/Os10g0465700/Os10g0492900/Os10g0493600/Os10g0521000/Os11g0118200/Os11g0175400/Os11g0297800/Os11g0525600/Os11g0539200/Os11g0683500/Os11g0700900/Os12g0117300/Os12g0406100",124
"GO:0004553","hydrolase activity, hydrolyzing O-glycosyl compounds","103/5181","200/14573",2.44152984341448e-06,8.30120146760924e-05,7.04188607469019e-05,"Os01g0134900/Os01g0303100/Os01g0508000/Os01g0517500/Os01g0518500/Os01g0660200/Os01g0663300/Os01g0713200/Os01g0746700/Os01g0860400/Os01g0860800/Os01g0875500/Os01g0940700/Os01g0941200/Os01g0944700/Os02g0127800/Os02g0139300/Os02g0151300/Os02g0200300/Os02g0528200/Os02g0532900/Os02g0534400/Os02g0771700/Os03g0165400/Os03g0201901/Os03g0219400/Os03g0227400/Os03g0329500/Os03g0374600/Os03g0397600/Os03g0669300/Os03g0722500/Os03g0749500/Os03g0792800/Os03g0828300/Os03g0845600/Os03g0854600/Os04g0412300/Os04g0443300/Os04g0474500/Os04g0474700/Os04g0474800/Os04g0480900/Os04g0481000/Os04g0497200/Os04g0513700/Os04g0535600/Os04g0604200/Os04g0604300/Os05g0304900/Os05g0319100/Os05g0365600/Os05g0366600/Os05g0375400/Os05g0391500/Os05g0393700/Os05g0449600/Os05g0495900/Os05g0578600/Os06g0131500/Os06g0320200/Os06g0367100/Os06g0590600/Os06g0696400/Os06g0696600/Os06g0715300/Os07g0168600/Os07g0240200/Os07g0480800/Os07g0510200/Os07g0529700/Os07g0539900/Os07g0575500/Os07g0577300/Os07g0656200/Os07g0679300/Os08g0111200/Os08g0224500/Os08g0237000/Os08g0509200/Os08g0520900/Os08g0525800/Os08g0549200/Os09g0255000/Os09g0272300/Os09g0487600/Os09g0511600/Os09g0511700/Os09g0533200/Os09g0533900/Os10g0117000/Os10g0323500/Os10g0416100/Os10g0416500/Os10g0416800/Os10g0492900/Os10g0493600/Os11g0118200/Os11g0297800/Os11g0539200/Os11g0683500/Os12g0117300/Os12g0406100",103
