"query","significant","p_value","term_size","query_size","intersection_size","precision","recall","term_id","source","term_name","effective_domain_size","source_order"
"query_1",TRUE,1.30748053118306e-47,398,1899,164,0.086361242759347,0.412060301507538,"GO:0009451","GO:BP","RNA modification",15896,3341
"query_1",TRUE,6.44958447226108e-09,4081,1899,612,0.322274881516588,0.149963244302867,"GO:0006139","GO:BP","nucleobase-containing compound metabolic process",15896,1882
"query_1",TRUE,1.02726153408265e-08,3673,1899,557,0.293312269615587,0.151647154914239,"GO:0090304","GO:BP","nucleic acid metabolic process",15896,16982
"query_1",TRUE,6.25931463583109e-08,3217,1899,492,0.259083728278041,0.152937519428039,"GO:0016070","GO:BP","RNA metabolic process",15896,4854
"query_1",TRUE,0.0022304486308311,214,1899,49,0.0258030542390732,0.228971962616822,"GO:0009266","GO:BP","response to temperature stimulus",15896,3275
"query_1",TRUE,0.00257847388133595,963,1899,160,0.0842548709847288,0.166147455867082,"GO:0005975","GO:BP","carbohydrate metabolic process",15896,1760
"query_1",TRUE,0.0106997129917757,100,1899,27,0.014218009478673,0.27,"GO:0009415","GO:BP","response to water",15896,3323
"query_1",TRUE,0.0119421397418254,46,1899,16,0.00842548709847288,0.347826086956522,"GO:0010948","GO:BP","negative regulation of cell cycle process",15896,4313
"query_1",TRUE,0.0119421397418254,55,1899,18,0.00947867298578199,0.327272727272727,"GO:0045786","GO:BP","negative regulation of cell cycle",15896,10846
"query_1",TRUE,0.0119421397418254,97,1899,26,0.0136914165350184,0.268041237113402,"GO:0009414","GO:BP","response to water deprivation",15896,3322
"query_1",TRUE,0.0119821823351465,103,1899,27,0.014218009478673,0.262135922330097,"GO:0001101","GO:BP","response to acid chemical",15896,275
"query_1",TRUE,0.0138385143247858,174,1899,39,0.0205371248025276,0.224137931034483,"GO:0097305","GO:BP","response to alcohol",15896,17363
"query_1",TRUE,0.0146419980639135,169,1899,38,0.0200105318588731,0.224852071005917,"GO:0009737","GO:BP","response to abscisic acid",15896,3474
"query_1",TRUE,0.0195440254764175,535,1899,93,0.0489731437598736,0.173831775700935,"GO:1901700","GO:BP","response to oxygen-containing compound",15896,20237
"query_1",TRUE,0.0283603760767506,41,1899,14,0.00737230121116377,0.341463414634146,"GO:1901988","GO:BP","negative regulation of cell cycle phase transition",15896,20445
"query_1",TRUE,0.0341342640156282,254,1899,50,0.0263296471827278,0.196850393700787,"GO:0016072","GO:BP","rRNA metabolic process",15896,4856
"query_1",TRUE,0.0341342640156282,42,1899,14,0.00737230121116377,0.333333333333333,"GO:0000154","GO:BP","rRNA modification",15896,51
"query_1",TRUE,0.0379603926856832,217,1899,44,0.0231700895208004,0.202764976958525,"GO:0000278","GO:BP","mitotic cell cycle",15896,75
"query_1",TRUE,0.0381561891757769,155,1899,34,0.0179041600842549,0.219354838709677,"GO:0048285","GO:BP","organelle fission",15896,11782
"query_1",TRUE,0.045039817452489,103,1899,25,0.0131648235913639,0.242718446601942,"GO:0009409","GO:BP","response to cold",15896,3318
"query_1",TRUE,7.04339011334828e-05,1060,1890,173,0.0915343915343915,0.163207547169811,"GO:0009507","GO:CC","chloroplast",16760,569
"query_1",TRUE,7.04339011334828e-05,1134,1890,182,0.0962962962962963,0.160493827160494,"GO:0009536","GO:CC","plastid",16760,597
"query_1",TRUE,0.0017283679065728,112,1890,29,0.0153439153439153,0.258928571428571,"GO:0005759","GO:CC","mitochondrial matrix",16760,314
"query_1",TRUE,0.0017283679065728,854,1890,136,0.071957671957672,0.159250585480094,"GO:0005739","GO:CC","mitochondrion",16760,305
"query_1",TRUE,0.00235439992593965,146,1890,34,0.017989417989418,0.232876712328767,"GO:0009532","GO:CC","plastid stroma",16760,593
"query_1",TRUE,0.00292952059504472,63,1890,19,0.0100529100529101,0.301587301587302,"GO:0000793","GO:CC","condensed chromosome",16760,93
"query_1",TRUE,0.00408150094366117,10475,1890,1257,0.665079365079365,0.12,"GO:0005622","GO:CC","intracellular anatomical structure",16760,232
"query_1",TRUE,0.00484781752595118,8247,1890,1007,0.532804232804233,0.122105007881654,"GO:0043227","GO:CC","membrane-bounded organelle",16760,1841
"query_1",TRUE,0.00484781752595118,8953,1890,1085,0.574074074074074,0.121188428459734,"GO:0043226","GO:CC","organelle",16760,1840
"query_1",TRUE,0.00484781752595118,8216,1890,1002,0.53015873015873,0.121957156767283,"GO:0043231","GO:CC","intracellular membrane-bounded organelle",16760,1845
"query_1",TRUE,0.00484781752595118,138,1890,31,0.0164021164021164,0.22463768115942,"GO:0009570","GO:CC","chloroplast stroma",16760,613
"query_1",TRUE,0.00597918893969623,8933,1890,1081,0.571957671957672,0.121011978058883,"GO:0043229","GO:CC","intracellular organelle",16760,1843
"query_1",TRUE,0.0318503034660792,16,1890,7,0.0037037037037037,0.4375,"GO:0005742","GO:CC","mitochondrial outer membrane translocase complex",16760,308
"query_1",TRUE,0.0318503034660792,16,1890,7,0.0037037037037037,0.4375,"GO:0098799","GO:CC","outer mitochondrial membrane protein complex",16760,3189
"query_1",TRUE,0.0494307444977799,13,1890,6,0.00317460317460317,0.461538461538462,"GO:0000794","GO:CC","condensed nuclear chromosome",16760,94
"query_1",TRUE,2.57086541315308e-20,1562,2189,321,0.146642302421197,0.20550576184379,"GO:0003723","GO:MF","RNA binding",18049,333
"query_1",TRUE,2.32123339031029e-09,3771,2189,583,0.266331658291457,0.154600901617608,"GO:0003676","GO:MF","nucleic acid binding",18049,311
"query_1",TRUE,0.0333347419680337,408,2189,76,0.0347190497944267,0.186274509803922,"GO:0004553","GO:MF","hydrolase activity, hydrolyzing O-glycosyl compounds",18049,842
