"ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0009451","RNA modification","141/4324","245/12503",1.04762541509106e-13,4.73566015466077e-11,4.02507891537038e-11,"Os01g0101150/Os01g0176300/Os01g0197450/Os01g0205200/Os01g0260000/Os01g0299150/Os01g0299200/Os01g0374200/Os01g0589400/Os01g0589900/Os01g0646000/Os01g0651100/Os01g0715700/Os01g0715900/Os01g0754700/Os01g0764950/Os01g0773000/Os01g0800400/Os01g0814300/Os01g0815900/Os01g0818200/Os01g0819800/Os01g0839400/Os01g0880900/Os01g0912900/Os01g0913400/Os01g0914600/Os01g0977400/Os02g0106300/Os02g0126500/Os02g0167200/Os02g0191200/Os02g0555100/Os02g0625100/Os02g0663900/Os02g0668400/Os02g0680500/Os02g0697500/Os02g0730900/Os02g0735800/Os02g0830000/Os02g0833050/Os03g0168550/Os03g0169300/Os03g0216400/Os03g0235200/Os03g0271300/Os03g0283500/Os03g0314400/Os03g0317100/Os03g0369700/Os03g0735200/Os03g0743200/Os03g0775400/Os03g0781100/Os03g0816600/Os03g0821700/Os03g0844000/Os03g0849700/Os04g0110500/Os04g0221300/Os04g0401200/Os04g0432800/Os04g0436800/Os04g0463800/Os04g0561700/Os04g0628200/Os04g0672700/Os05g0107000/Os05g0112900/Os05g0147600/Os05g0153400/Os05g0212100/Os05g0271900/Os05g0313600/Os05g0370000/Os05g0409800/Os05g0439300/Os05g0455900/Os05g0509300/Os05g0572900/Os05g0574800/Os05g0581300/Os06g0112000/Os06g0143500/Os06g0216400/Os06g0228900/Os06g0231100/Os06g0314100/Os06g0493801/Os06g0611200/Os06g0625800/Os06g0700100/Os06g0705350/Os06g0717400/Os07g0113500/Os07g0163900/Os07g0203900/Os07g0239600/Os07g0244400/Os07g0578800/Os07g0588100/Os07g0635800/Os07g0636000/Os07g0636900/Os07g0670000/Os08g0131000/Os08g0138600/Os08g0375800/Os08g0434000/Os08g0481000/Os08g0494350/Os08g0500600/Os08g0511000/Os09g0327200/Os09g0411600/Os09g0520300/Os09g0555400/Os11g0109800/Os11g0114800/Os11g0131400/Os11g0213500/Os11g0256100/Os11g0433101/Os11g0460700/Os11g0482400/Os11g0483950/Os11g0583200/Os11g0673000/Os11g0680200/Os12g0109300/Os12g0109800/Os12g0114400/Os12g0128200/Os12g0156900/Os12g0163600/Os12g0181900/Os12g0202850/Os12g0233200/Os12g0256900/Os12g0552300",141
"GO:0015979","photosynthesis","69/4324","97/12503",1.96093588184711e-13,4.73566015466077e-11,4.02507891537038e-11,"Os01g0110700/Os01g0208700/Os01g0279100/Os01g0501800/Os01g0600900/Os01g0720500/Os01g0773700/Os01g0805300/Os01g0869800/Os01g0934400/Os01g0938100/Os02g0152400/Os02g0197600/Os02g0578400/Os02g0638300/Os02g0698000/Os02g0714200/Os02g0744900/Os02g0764500/Os03g0323200/Os03g0343900/Os03g0395000/Os03g0563300/Os03g0592500/Os03g0778100/Os04g0457000/Os04g0678700/Os04g0690800/Os05g0405000/Os05g0560000/Os06g0320500/Os06g0603000/Os06g0729650/Os07g0105600/Os07g0141400/Os07g0147500/Os07g0147550/Os07g0148900/Os07g0275100/Os07g0435300/Os07g0544800/Os07g0558400/Os07g0558500/Os07g0562700/Os07g0577600/Os07g0673550/Os08g0119800/Os08g0200300/Os08g0425200/Os08g0435900/Os08g0504500/Os08g0512500/Os08g0553800/Os08g0560900/Os09g0249900/Os09g0296800/Os09g0346500/Os09g0481200/Os10g0461100/Os10g0461400/Os10g0496900/Os11g0242800/Os12g0189400/Os12g0190200/Os12g0274700/Os12g0291100/Os12g0291400/Os12g0292400/Os12g0420400",69
"GO:0002229","defense response to oomycetes","25/4324","30/12503",5.41458326973566e-08,8.71747906427442e-06,7.40942973753301e-06,"Os02g0299000/Os03g0122300/Os03g0823000/Os04g0288500/Os04g0581000/Os04g0581100/Os05g0130100/Os06g0210400/Os07g0130100/Os07g0130200/Os07g0130400/Os07g0131375/Os07g0133100/Os07g0283050/Os07g0283125/Os07g0550500/Os07g0575600/Os07g0575700/Os09g0251100/Os09g0268000/Os10g0442000/Os10g0533800/Os10g0536400/Os12g0574700/Os12g0608500",25
"GO:0007178","cell surface receptor protein serine/threonine kinase signaling pathway","26/4324","33/12503",2.49764695334987e-07,3.01590869616997e-05,2.56337450475381e-05,"Os01g0171000/Os02g0299000/Os02g0728500/Os03g0717000/Os03g0823000/Os04g0227000/Os04g0685900/Os06g0210400/Os06g0225300/Os06g0274300/Os06g0274500/Os07g0130100/Os07g0130200/Os07g0130400/Os07g0131375/Os07g0133100/Os07g0283050/Os07g0283125/Os07g0575600/Os07g0575700/Os08g0174700/Os09g0268000/Os10g0442000/Os10g0533800/Os11g0607200/Os12g0574700",26
"GO:0009416","response to light stimulus","39/4324","60/12503",1.44344298698685e-06,0.000119106970081917,0.00010123508408401,"Os01g0221100/Os01g0600900/Os01g0720500/Os01g0757200/Os01g0769900/Os01g0785400/Os01g0869800/Os01g0883800/Os02g0166800/Os02g0197600/Os02g0204400/Os02g0220400/Os02g0764500/Os03g0131200/Os03g0438100/Os03g0592500/Os03g0738400/Os03g0792400/Os03g0856700/Os04g0457000/Os04g0690800/Os05g0208550/Os05g0347400/Os05g0514600/Os05g0560900/Os05g0586200/Os06g0115400/Os06g0320500/Os06g0727200/Os07g0558400/Os07g0562700/Os07g0577600/Os08g0435900/Os08g0468100/Os08g0468700/Os09g0293500/Os09g0296800/Os09g0346500/Os11g0242800",39
"GO:0009414","response to water deprivation","37/4324","56/12503",1.4795896904586e-06,0.000119106970081917,0.00010123508408401,"Os01g0270100/Os01g0916600/Os02g0178800/Os02g0255500/Os02g0612900/Os02g0648100/Os02g0666200/Os02g0669100/Os02g0753800/Os02g0766700/Os02g0823100/Os03g0113000/Os03g0131200/Os03g0643300/Os03g0741100/Os04g0448900/Os04g0540900/Os04g0605500/Os05g0323800/Os05g0358500/Os05g0382600/Os06g0211200/Os06g0221200/Os06g0562200/Os06g0727200/Os07g0659600/Os09g0110300/Os09g0426800/Os09g0453300/Os10g0516200/Os11g0127600/Os11g0216300/Os11g0451700/Os11g0453900/Os11g0454000/Os11g0454200/Os11g0454300",37
"GO:0005975","carbohydrate metabolic process","152/4324","324/12503",2.35810668746177e-06,0.000162709361434862,0.000138294978663172,"Os01g0127900/Os01g0134900/Os01g0190400/Os01g0287600/Os01g0303100/Os01g0508000/Os01g0517500/Os01g0518500/Os01g0637500/Os01g0660200/Os01g0663300/Os01g0713200/Os01g0715400/Os01g0742500/Os01g0746700/Os01g0817700/Os01g0860400/Os01g0860800/Os01g0866400/Os01g0867600/Os01g0875500/Os01g0926300/Os01g0940100/Os01g0940700/Os01g0941200/Os01g0944700/Os01g0971600/Os02g0127800/Os02g0139300/Os02g0151300/Os02g0177900/Os02g0200300/Os02g0528200/Os02g0532900/Os02g0534400/Os02g0605900/Os02g0698000/Os02g0771700/Os03g0132900/Os03g0165400/Os03g0169100/Os03g0201901/Os03g0219400/Os03g0227400/Os03g0267300/Os03g0314800/Os03g0329500/Os03g0330200/Os03g0374600/Os03g0397600/Os03g0416500/Os03g0669300/Os03g0722500/Os03g0748300/Os03g0749500/Os03g0758100/Os03g0792800/Os03g0808000/Os03g0845600/Os03g0854600/Os04g0234600/Os04g0409900/Os04g0412300/Os04g0443300/Os04g0474500/Os04g0474700/Os04g0474800/Os04g0497200/Os04g0513700/Os04g0535600/Os04g0603000/Os04g0604200/Os04g0604300/Os05g0247100/Os05g0247800/Os05g0304900/Os05g0365600/Os05g0366600/Os05g0375400/Os05g0391500/Os05g0393700/Os05g0449600/Os05g0495700/Os05g0495900/Os05g0542900/Os05g0578600/Os06g0131500/Os06g0320200/Os06g0356800/Os06g0367100/Os06g0590600/Os06g0696400/Os06g0696600/Os06g0713800/Os06g0715300/Os06g0726200/Os07g0168600/Os07g0197100/Os07g0240200/Os07g0480800/Os07g0510200/Os07g0529700/Os07g0539900/Os07g0575500/Os07g0577300/Os07g0627000/Os07g0640200/Os07g0656200/Os07g0662900/Os07g0679300/Os08g0111200/Os08g0154300/Os08g0224500/Os08g0237000/Os08g0473900/Os08g0509200/Os08g0518800/Os08g0518900/Os08g0520900/Os08g0522500/Os08g0525800/Os08g0547100/Os08g0549200/Os09g0255000/Os09g0272300/Os09g0327400/Os09g0487600/Os09g0494200/Os09g0511600/Os09g0511700/Os09g0533200/Os09g0533900/Os10g0117000/Os10g0323500/Os10g0339290/Os10g0416100/Os10g0416500/Os10g0416800/Os10g0492900/Os10g0493600/Os10g0497900/Os10g0521000/Os11g0118200/Os11g0175400/Os11g0297800/Os11g0525600/Os11g0539200/Os11g0600900/Os11g0683500/Os11g0700900/Os12g0117300/Os12g0406100",152
"GO:0019253","reductive pentose-phosphate cycle","12/4324","12/12503",2.8981167429006e-06,0.000169597361607054,0.000144149441052089,"Os02g0152400/Os02g0698000/Os03g0129300/Os03g0169100/Os03g0267300/Os04g0234600/Os04g0459500/Os05g0496200/Os12g0274700/Os12g0291100/Os12g0291400/Os12g0292400",12
"GO:0009765","photosynthesis, light harvesting","14/4324","15/12503",3.51133253844833e-06,0.000169597361607054,0.000144149441052089,"Os01g0600900/Os01g0720500/Os02g0197600/Os02g0764500/Os03g0592500/Os04g0457000/Os06g0320500/Os07g0558400/Os07g0562700/Os07g0577600/Os08g0435900/Os09g0296800/Os09g0346500/Os11g0242800",14
"GO:0009768","photosynthesis, light harvesting in photosystem I","14/4324","15/12503",3.51133253844833e-06,0.000169597361607054,0.000144149441052089,"Os01g0600900/Os01g0720500/Os02g0197600/Os02g0764500/Os03g0592500/Os04g0457000/Os06g0320500/Os07g0558400/Os07g0562700/Os07g0577600/Os08g0435900/Os09g0296800/Os09g0346500/Os11g0242800",14
